##.#...##. ..#.###..# ##...#.#.# ####.#.##. ........#. .#.#...#.# #..##...#. .#.#...### #...#.#... .##..##..# ###.####.# #.#..#.##.
...#...... ......#... .#..#.#..# #...##.#.# #......... .#.#..#..# #..##.#... ...#...... ....#....# #...#....# #.#....... .##......#
..####...# #.##.....# #.......## #.##.####. .#.##....# #.#..##### #......#.. .......#.# #....#.... .......... ...#.#.### #.#.......
....###.#. ..#.#.#... ......#... ..##.#.... .#.##..#.# #..##..#.# #......### #.#.....## #.....#..# #...#..... .#....#..# #...#..##.
#.###.#..# #.#.#.#... .#..#..... .#..#....# #.#.##..#. .......... ...##...#. ..#...#..# ##..#..... .....#...# #...##...# #####...#.
....##.... ...#..##.. .......#.# #.......## ##.#.#.... ..#...#### #.##...... ........## #........# #..#.....# #...##...# #.#..#....
#......... .........# #..##....# #...#....# ##.#..###. ..#......# ##........ ...#....## #.##..#..# #..#...##. ..##...... .#..#..#.#
.#.##.#### ###.#..#.. .##....... .##.#.##.# #.##...... .#.#.###.# #######.## #.##.#..## ##..##...# #.####..## #.###.#.## #..##...##

.#.##.#### ###.#..#.. .##....... .##.#.##.# #.##...... .#.#.###.# #######.## #.##.#..## ##..##...# #.####..## #.###.#.## #..##...##
#...#.#... ..#......# ##.#...... ....#..... .....#...# #....##... ....#..... ..#.#..##. ..#.....## #..##..#.# ##.#...#.# #..#.....#
#....#..#. ...#.....# #......... ..##..##.# ###..##.## #...#....# #.###..#.. .....#...# ###....#.# #........# #.#....#.# #.....##.#
..#.#.#..# #.....#.## #........# #...#.#... ....#.#... .#.###..## #...##.#.. ........#. .....###.# #.#..#...# #.......#. ..#..#.#..
#..##..#.# #....##.#. ...#.....# #.#...#... ....#..... ..###.#.#. ....#...#. .#....##.# #.#..#.#.# ##......#. ....#..#.# #.........
#....#..#. .........# ###...#..# #...#....# #....#.##. ....#....# #.#..#...# ##...#.### #........# #.....#... .........# #.##.#.#..
#..#...... .......... ....#.#... ........#. ...##.##.# ##.###..## #..#.#...# #........# #..#...... .##.#..... ..#.#..... ..#..##...
#...#....# #.#....#.# #.#..##... ......#... .#...#.... .......#.. ..##.#.#.# ####.#.... .##..#..## #...#.#.#. ..#..#.#.. .##.......
...#.##..# #......... ...##....# #...#....# #...##.... ....#.#..# #.###.#..# ##.....##. ..#......# #.....#.## #..#...#.# #.#.....##
.#.#..#.## #..#...#.# #..#...#.. .####.###. .######..# #.#...#... ....##...# #.#.#.#.## #.###..#.# #....##... ..#....... .#....##.#

.#.#..#.## #..#...#.# #..#...#.. .####.###. .######..# #.#...#... ....##...# #.#.#.#.## #.###..#.# #....##... ..#....... .#....##.#
.##.#....# #........# ##...#.#.. .#.#.#.#.# #.#.##.... ....##..## #..##....# #......... ........## #......... ......#... ...##....#
......#... .#.#..#..# #......... .........# #.###..... ...##..#.. ....#..... .....#.... .........# ##...#...# #..#...#.. ..##.#....
.......#.. ..##.#.... .###...#.. ....##.... ..#..#...# #...##...# #.....###. .#.#..#..# #.#.#.#... .......... .......... ..##.....#
#.....##.. ...#.#..## ##..##.##. .#.......# #...#....# #...##..## #....##.#. ..#......# #.#..#.... .........# #..#...#.. ...###...#
...##...## ##..##..## ###.##.#.. .....##..# #.#...#... .....#..## #.#...#..# #.....#... .........# #.#......# #.#..#..## #.#.....##
.#.....#.# #...#....# #...##.... ..#....... ...####..# #......#.. ......##.# #.#..#.... ..#.#....# #.#.#.#..# ##..#..##. ..##......
#.##.#.... .#..###... ......##.# #..#..#.#. ....#....# ##...##.#. ...##..... ......#.## #.#....#.# #..#...... .......... ..##..###.
#..#.#..## #...#....# #......#.. ..#....##. .#....#..# #..##..... .........# #.##...#.. .....#...# ##.#...#.# #.##..#... .........#
..##.#..## #.#.....## ###.##...# ####..##.. ..#.#....# ####.#..#. ..#######. ..#.###### ##.####... ....#.#### ##....##.. .##.#.###.

..##.#..## #.#.....## ###.##...# ####..##.. ..#.#....# ####.#..#. ..#######. ..#.###### ##.####... ....#.#### ##....##.. .##.#.###.
.....#...# #.##....## #.......#. ....#...## #.#.....#. ..#.#..##. .....#.#.. ..##..#..# ###......# #...###### ##.#..##.. ..........
#.......#. .#.##.#.## #....##.## ##...#.#.. ....#...#. ....##..#. ....#.#... ..#.....#. .......... ....#.#..# #......### ####...#.#
#....#.##. ...##....# ##..##...# ##......## #........# #.#....... ......#..# #.#.#.#... .#.##.#... ....#..... ....#..... ..##..#...
#......#.# #..#...#.# #....###.. ...#..##.# #......... ..#......# #..#...### #....#.... .#........ ..##....## #..#.##... ..##..#...
....#...## #.....#..# #.#...#..# #......#.# ##.#.....# #..#.#...# #...#.#.#. .......... .##.#.#... .....#.#.. ......#... ...#.#..##
..#....... ..#.##.... ....###..# ##.#...#.# #.....##.# #...#..... .....#...# #..##....# ###.#....# #.##.....# ##...#.### #.......##
###......# #..###...# #......... ..#.#..#.# ##........ .##...#..# ####...#.# #...####.. .#.......# #..#..#..# #....#.... ........#.
###.##.... .#.##....# ###...#.## #.#....... .........# #...#..#.# #.....#.#. .......#.# #.#.#..... .....#..#. ........## #.##...#.#
..##.#...# #...##.#.. .#..#..### ####...#.. .....#.#.# ##...##### #.##.##### #.#.#..##. .#..#...#. ...#.##.## ##.#.#...# ###..#####

..##.#...# #...##.#.. .#..#..### ####...#.. .....#.#.# ##...##### #.##.##### #.#.#..##. .#..#...#. ...#.##.## ##.#.#...# ###..#####
..#....... ....##.... ...#.#...# #.......## #.......## #..#..#.#. ......#... .#..##..#. ....#..#.# #......#.. .###..#..# #.##......
.##.#..#.# #...#..... ..#..#..## #.#..###.. ...##.#..# #.####..## #.#...##.. .#.......# #........# #...#..#.. .##.#.#... .#....####
#..#.#...# ##..#..#.# ##....###. ..#......# #....##### ##.#...... ....#.#.#. .##..#...# #......... .#..#.#..# #.#.....## ##....#...
##...#.#.. ....#..... ......#..# #..###...# #..#..##.# #.###....# #..#...### #.#....#.. .....#...# #......... ..#....... ......#..#
.##...##.# #####..... ..#....... ....##.#.# #..#...#.# #.....#..# ##.##.##.# #....##.#. .....##.#. .#.......# #...#...#. ..........
..##...... ......#... ....#.#.#. .....#...# ##.....#.# #.......#. ..#...#### #..#...#.# #..#...#.# #.....##.# ##..#....# #........#
#####..... ...##..##. ....##...# #..#..##.. ....#..... ..#.#...## #..##....# ##........ ......#.#. ...#..###. ...##..#.# #......#..
...##...#. .##.#....# ###.....## #........# #.....##.. .#.#.....# #......#.# ##..##...# ##........ ...#.....# #.......#. ......#..#
....#.#..# #.#.#.#... ..##...#.# #..#..#.## ##.#####.. .###.#...# #....###.# ##....##.# #####..##. ...#...... .###...#.# ##.##.....

....#.#..# #.#.#.#... ..##...#.# #..#..#.## ##.#####.. .###.#...# #....###.# ##....##.# #####..##. ...#...... .###...#.# ##.##.....
##.......# ###......# #....#.... .......... ......#... ...##..... .#..###.## #.....#... .#..#..... ..#.....## ##........ ..#....###
#......... ....##.#.. .......#.. .##.###..# #...###..# ##..#..... ...#..#..# #..#.....# #..#.#..#. ...#...### #.....#..# ##....#..#
#.#.##.... .#.......# #..#...... .#.#.#.... ...#..##.. ..#...#..# ###.##...# #...#...## #........# #.##.###.# #.#..##..# ##.....#.#
#..##..#.# #...#.#... ..#..#.#.# #...###..# #.......#. ......#.## ###....#.# ##......## #.#...#..# ##.....#.. ...#....#. ....#...##
#.##.....# #....##..# #...##.... ...#.##..# #.#....#.. ..#.##...# ##........ .##.#....# #....#.... .##....#.# ##....#.## #.#..##..#
..#.#..... .....##..# #.#.#..##. ..#.#.##.. .....#.### ##.#..#..# #......... .#....#.#. ...#.###.# #...#...## #.#......# #.#.......
##...##### #...#.##.# #....#...# #.#....... ...#..#..# #.###...## ##....#.## ##....#..# #.##...... ..#....##. ..##.....# ##.#..#...
#...#...#. .#..###..# #.##..#.#. ..#...#... ....#.##.. ..####.... ..#..#.#.. .#...##.## #.....###. .#.......# #.....#... ....#...#.
.#..#####. .###....#. ...#.##.#. .####....# #..#.#.##. ..#.#..#.. .#.#.#.#.. ...#.#.#.. ..##.###.# ##..#..##. .##.##...# ##.#....##

.#..#####. .###....#. ...#.##.#. .####....# #..#.#.##. ..#.#..#.. .#.#.#.#.. ...#.#.#.. ..##.###.# ##..#..##. .##.##...# ##.#....##
.#.......# #......#.. ......#... ...#.#...# #......#.. ..##..#.#. .......#.# #.#..###.. .....##..# #......#.# #.#.#..#.. .#...#...#
#.##...#.. .#.....#.. .....#.... .....#.#.. .........# ##......## ##........ ..#..#.### ###....#.. .#...#.#.. .#.#.....# #........#
#...#..... ......#..# #......#.. .#...###.. .........# #..##...## ###.....## #......... .......... ..##...... .........# #.#.....#.
#.##...... .#....#..# #...#.###. ..#.#..... .#....##.# #.##..#... ..#..#..#. ..#.#....# #.......## #......#.# #..##.##.. ...#......
....#.#.## #.#....#.. ..#....#.# #.#......# #.....#..# #.......#. ..#...#.## ###..#.### #..#.....# #.#..#.... .#..#..... .....#.###
......#..# #...#...#. .........# #.#...##.# #....##... .......#.# #......### ##..###..# #......... ..#.#.##.. ....#....# #..#..#...
#..#..#... ...#..#.## #..#...#.# #..####..# #...##...# ##..#..#.# ##...#.#.. ..#..##... .#.....#.. .......... ......##.# #..#.....#
#..###.... .###..##.# #.#....### #......##. .###...#.# #...#....# #.......## #.#.####.. .......#.# ###..#...# ##...#.##. ...#......
####.###.. .######.## #.#..#.... ..#...##.# #...###.## #....#.##. .####.#..# ###.#..... ..##..#... ...###.### #...#..... .###..#..#

####.###.. .######.## #.#..#.... ..#...##.# #...###.## #....#.##. .####.#..# ###.#..... ..##..#... ...###.### #...#..... .###..#..#
#..#.....# #..#..#### #..#...... ....###... ....#..... ...#.....# ##........ .......#.. .#..#.#### #.#......# #.#....... .##....##.
#.......## #.....#..# #....##.#. ..##...... ..#.##.#.. ....##.#.# ##.......# #.#.....## #........# #.#....... .#.......# #..#.....#
##..#..#.# #.##..##.# #.#...#... .....#.... ..#..#..#. .....#...# #....#.... .#.....#.# #..#...#.. ..###..#.# ##........ ..##.#..#.
#......... ....#...## ####.....# ##.#..##.. .#.###.... .#..#..... .#......## ##....#... ..##....## ##..#....# #..##.#... .##...##.#
#.....#.#. ..##...... .#..#..... ....#..... .##.##.#.# #...##.... .#..#..#.# ####..#..# #...#...#. .#........ ...#.....# ##.....###
##.......# #..#...### #......... ....##.#.. ..#..##..# ###..##... ......#..# #...#..##. ....#...## ##......## ##.......# ##.....#..
...#.#.... .....##... ..#.##...# #.#..##... .......#.# #....##.## ##.###...# ##...#...# #....#.#.. ..#.#..#.# #...#....# #...##.#.#
.........# #......### #.#...#.## #...#....# ##........ ..#......# #....#.... ..#......# ###......# #...##...# #..#...#.. ..#.##..#.
######..## #.#....#.. ...#####.# ##.##.#.## #######.#. ..#..#.... .##..##.## ##..##.### ##.#...#.# ###.#..#.# #...####.. .#.###.#..

######..## #.#....#.. ...#####.# ##.##.#.## #######.#. ..#..#.... .##..##.## ##..##.### ##.#...#.# ###.#..#.# #...####.. .#.###.#..
.#.#.##..# #.##...#.# ##...###.# #...##.... ....#.#..# #.#......# #..##....# ##...#.#.. ..####.... .....#..#. ...#...... ....###...
.....#...# ##....#..# #..#.....# #.......## #..#.#.... .#..#.#... ...#.#.#.. ..#...#.## #.#....#.. ..##...#.# #..#.....# ##...#....
#...#...## #...###..# ####..#... .#..##.#.. ..##.##..# ##.#...#.# #.###.#### #.....#... .......... .#...###.. ..#.....## ##.#.#.#.#
#......... ...#.#...# ##.......# #......... ...#..#.#. .....#.... .#.#...... ..#....#.# #........# ##........ ...#...#.# #....#...#
.#...#..#. ......#### #....##.## ###..#..## #..##..##. .##......# #...###..# ##......#. ..#..#.... ..##...... ....#....# #........#
##.#.....# #.##.....# #.#....... ....#..#.. .........# #....#...# #...#.#### ###..#.#.. ....#.#..# #.....##.. ......#..# #.###...#.
.#.#.#.... ....#..#.# #..##.#..# #...#.#..# ##...##..# ##..#..... ..#......# #.....#... ..#.##.... ..#..#.... .#....#.## #.........
......#..# #..#....## ####..#..# ##...#..#. .##..##... ....#...#. ......#.## #......... ....#.#..# #.#...#.#. ....#....# ##..#.#.##
...#..###. ...#.###.# #..#..#.#. ..#.#.##.# ##..#..### #.#..#...# ###.#.#### ###.#...## #.#.##..#. .......### #####.#### ###..##.##

...#..###. ...#.###.# #..#..#.#. ..#.#.##.# ##..#..### #.#..#...# ###.#.#### ###.#...## #.#.##..#. .......### #####.#### ###..##.##
#...#..##. ......#... ....#..... ........## #....###.. ......#... .#.#.###.. ........## #...#.#..# ###..#.... .....#...# #........#
#.....#### ##....#..# ###.....## ##.#.#.... ......##.# #......... ...#...#.# #..#.#.... ..#......# #####..#.. .#.#.....# #......#.#
..#..#.#.. ..##.###.. .........# #..#....#. ...#.#.... ....#....# ###.#...#. ..#...##.. ...##..... ..##.....# #...##...# #....#.#.#
#...#.#..# #.......## ##..#..... ....#....# #.....#... ..#....... ...##.#.#. .#.#.....# #.#......# #...#..#.. ......#.#. ......#..#
#..##...#. .#.......# #.......## #.#....... ......#..# #..##..... ....#...#. .........# #........# #.#..###.. .......#.. ..####.#..
.........# #...#....# #..#.....# #......... .....#.#.# #.#....#.# #...##.... ..#.#....# #....#.... ..#......# #........# #.....#..#
........## #.....#..# #..#.#..#. ..#.....## #..#...#.# #...##..## ##..##..## ###...#.#. .......##. .#..##..## ###....... .#.#.....#
#..#.##... .....#.#.. ...#...... .......... ....#....# ##........ .#..#..#.# ##....##.. .....#..## #...#.#..# #....#.... .......#..
.....##.#. .#.##..#.. ...#...##. .#.##..##. .##.###.## #...#....# #..####.#. .#####.#.# #..##.#..# ###.#....# #####.###. .####..#..
part2:  None
